Ticker,Weight,Weight_Percent,Standard_Deviation
ABBV,0.048781697123944666,4.878169712394467,0.7240329817045325
PEP,0.043945142653172044,4.394514265317205,0.2690793557148712
GWW,0.04033469733599202,4.033469733599202,0.8844818330229397
MSA,0.03904795417715239,3.9047954177152393,0.2297267627965268
SPGI,0.03868222760103158,3.868222760103158,2.0233334144115878
MSEX,0.037681555835142246,3.7681555835142246,2.2973755029609753
LOW,0.03581815634446703,3.581815634446703,1.6484390930769592
CINF,0.034543557610583794,3.4543557610583795,0.36197059604438203
ED,0.03386269789756055,3.386269789756055,1.3236155329128918
FMCB,0.03222162689072968,3.222162689072968,1.6755641892164164
AWR,0.03156901206727466,3.1569012067274658,1.6425016733668991
SYY,0.02921282430241749,2.921282430241749,1.2400370464575245
RPM,0.027440312837325218,2.7440312837325216,1.8341185158275215
HRL,0.026928596870732773,2.6928596870732773,0.8655690404936885
HTO,0.026362074101011494,2.6362074101011492,0.950277649083313
MO,0.02497377724707252,2.497377724707252,1.8222685808112131
JNJ,0.024640956438924447,2.4640956438924446,1.0020758445289923
KO,0.024521597718737183,2.4521597718737183,1.7976015042563025
NFG,0.02225914251864601,2.225914251864601,0.7859860854126566
NDSN,0.021973031001940063,2.197303100194006,1.7918418081735425
PH,0.021866541153584843,2.1866541153584844,0.9466039166579515
BKH,0.021268746973616023,2.126874697361602,1.0830082984170528
ABT,0.02123868509427283,2.123868509427283,0.3174115657693767
TGT,0.019904851149745714,1.9904851149745713,1.4485974003782158
UVV,0.01846625312359819,1.8466253123598189,1.3142473555958496
PPG,0.016585156259935847,1.6585156259935847,1.1886969247270849
CWT,0.01649171580888051,1.6491715808880512,0.5873556529254335
WMT,0.015119777356377167,1.5119777356377166,1.2195707017871669
EMR,0.01483583554782176,1.483583554782176,0.4342805637138622
KMB,0.014773600035504526,1.4773600035504526,0.7979345490366637
CBSH,0.01468964573488455,1.468964573488455,1.169608127302792
ABM,0.014070985444908209,1.4070985444908208,1.2898280782683786
UBSI,0.013803738169686539,1.380373816968654,0.74751099656853
GPC,0.013045545698611284,1.3045545698611283,1.6463372322402592
PG,0.01301135042557379,1.3011350425573789,1.8400828236635396
DOV,0.012370496339654072,1.2370496339654071,1.3282112788366212
ADM,0.01217940043313201,1.217940043313201,0.915215821930499
TR,0.011824964311425948,1.1824964311425947,1.1905039145715393
BDX,0.011704104121372476,1.1704104121372476,1.6552102783871796
FUL,0.00967282942927036,0.967282942927036,1.0087237482390796
NUE,0.00966591952214649,0.966591952214649,1.2666852841638498
FRT,0.009007445424733336,0.9007445424733337,0.5183148878150912
CL,0.007965753033924609,0.7965753033924609,1.1167315936865445
GRC,0.007093713390980372,0.7093713390980372,0.2848859986940225
CDUAF,0.004345385035381817,0.4345385035381817,0.6145302450770056
ITW,0.0038592869349358444,0.38592869349358444,0.5457855924475564
NWN,0.0027702272514460603,0.277022725144606,0.19926472555276556
SCL,0.002677892693404195,0.2677892693404195,0.3787112165592029
TNC,0.0008895155273328192,0.08895155273328192,0.12579649226955283
SWK,0.0,0.0,0.0
