period,ABBV,ABM,ABT,ADM,AWR,BDX,BKH,CBSH,CDUAF,CINF,CL,CWT,DOV,ED,EMR,FMCB,FRT,FUL,GPC,GRC,GWW,HRL,HTO,ITW,JNJ,KMB,KO,LOW,MO,MSA,MSEX,NDSN,NFG,NUE,NWN,PEP,PG,PH,PPG,RPM,SCL,SPGI,SWK,SYY,TGT,TNC,TR,UBSI,UVV,WMT
2012-11-30 00:00:00+00:00,,14.6991063185,24.4923184089,18.8543508915,17.6215853896,61.1253256029,23.2951297723,15.6391467632,37.106619599,27.7669489989,40.4341592194,13.7327302022,34.0865947847,34.8312123147,35.691717592,288.3729609669,66.1503560453,28.2830054308,45.3750176383,16.9407421455,158.1054791714,11.6933907303,18.4074428506,45.6285828746,49.1607602382,53.8532217272,25.6705626602,28.7656523319,15.3546905961,30.8762537736,14.0661069715,53.4747585966,35.013289305,29.8469248092,27.3073125872,48.2889042314,48.554674043,66.4532131178,50.3740827457,22.0903943547,40.570820466,44.1970491039,52.7313293074,22.3482099388,44.1130579917,32.4105511522,17.3245435475,14.8163687379,26.1936477396,18.5184211731
2012-12-31 00:00:00+00:00,,15.4829711746,24.6807208582,19.3415981617,18.5820586152,62.7373679852,23.7193896309,15.3244406237,40.2652091227,27.1106785723,38.9584055742,13.9997555116,35.2229932899,34.6751305244,37.6315620879,312.0498988148,67.1024720265,29.9791247823,44.6639569246,18.158186784,164.9098331095,11.7688076328,20.0179059619,45.6355927257,49.4216161294,53.5054398935,24.5400289144,28.3113319709,14.4756156896,34.3338330438,14.7051337446,55.2942263297,34.3126061127,31.5484352024,27.5189971809,47.4275518759,47.205739951,68.807185731,54.8654711485,22.5340340721,46.8154830575,47.602290916,54.6179599386,22.3552709846,41.345947115,37.3477641096,16.8816604794,14.7824132481,26.1988969676,17.6412328537
2013-01-31 00:00:00+00:00,22.2148401028,17.0118660726,26.6792826899,20.1466153908,19.577387724,67.4312368011,26.3367466044,16.412799356,42.3954984974,29.3814402096,40.2417780108,14.8771243857,37.0830417866,35.5117289202,40.6798891528,318.9843410106,68.282990425,33.6468752583,47.7900124187,18.4990712828,177.4999251268,13.115241035,20.4092334468,47.1515259161,52.1147769512,56.7247651885,25.2102255661,30.571129889,15.5069572655,37.1554615613,14.5171846937,59.2363052031,36.8239450095,33.6316845149,28.556590973,50.4909711261,52.6843391439,75.2057848273,55.8869782582,23.9539238212,49.4453769563,50.0838444026,56.7297264038,22.6298460587,42.2124161774,39.1238011287,17.6501928623,15.4808427976,28.8212085342,18.0859480891
2013-02-28 00:00:00+00:00,22.3540991168,17.6172153215,26.6084109236,22.6293578356,20.650883931,70.6567671668,27.3973954558,16.6488289606,41.4206056314,31.160665029,42.8878332661,15.4294899897,39.5087855566,37.2356154728,40.5733899007,331.3122382478,68.5152235525,35.2639710313,49.8974655607,17.6159838796,185.2245249264,14.1762833608,20.0854756161,46.1534114888,54.0880319149,59.7476355935,26.2121357121,30.5391098525,15.4471026204,37.8886890852,14.7681463861,55.6738810227,39.3894367666,32.9299584307,28.638324941,52.8887309396,53.3993208619,76.7789337499,54.8306637012,23.3399174432,51.7542622051,40.7785426976,58.1104967848,22.9076439801,44.2509189306,39.8142147645,18.2884655194,15.7905811196,29.5685035697,18.3005490457
2013-03-29 00:00:00+00:00,24.6912286561,17.2602144824,27.8132309506,23.9575718705,22.4484778684,77.1455985994,29.0113319518,17.9528584758,43.9826884685,32.9791902119,44.237096569,15.30642327,39.2556276941,38.5167730899,39.9794584436,362.1319813406,70.1804317826,33.7195005604,55.1993401858,18.3550733559,184.0140140331,15.6579531801,20.0778990504,46.0180011362,57.9397877023,62.6238531971,27.5751553735,30.3549946424,16.0391871736,40.1288527729,14.8136802393,57.9131301805,41.7779052784,34.0035836521,27.5506344438,55.2201069636,54.0161678343,74.4222560628,54.5374951444,24.237901771,53.3261584772,45.6229109278,60.1616247945,25.0516740915,48.1095203431,41.4265752939,20.1229909574,16.3515439385,29.7010026895,19.4722144932
2013-04-30 00:00:00+00:00,28.1402438736,17.6214971907,29.1823831294,24.1067295964,21.6335166256,76.0885885151,30.8887682838,17.6362761074,45.5440540409,34.1595127756,45.0085150843,15.4217983197,37.1549560694,40.1702868617,39.7218496188,323.6073024746,76.0071484902,32.7851861569,54.0175081587,17.2556014078,201.5909593685,15.7042644891,19.214170563,48.751594246,60.5692150848,65.9538213044,28.8639052166,30.8858059698,17.0279361357,38.8187209411,14.8819810191,61.0217348938,42.7108430164,32.1394651984,28.2462766152,57.565443323,54.2326041303,71.9761871531,59.9122520199,25.0483305777,48.1203084579,47.4012233161,55.5846751991,25.0323861823,49.5925165144,40.7952806951,21.011066787,15.5527086465,30.7776773781,20.2242484353
2013-05-31 00:00:00+00:00,26.0870143532,18.8952462115,28.9847776098,23.0198609615,20.8553390223,79.5743011597,31.5116805078,19.13564538,42.8865574455,33.0630000981,43.6025879319,15.3018658356,42.3373382927,36.3840615398,41.4054027976,315.9023667014,69.9920540964,35.9598994338,55.0153423852,17.9331944331,211.3418082094,15.1525033185,20.6453058258,52.9577029813,60.2757632737,61.8888314459,27.2683101728,33.8521938935,16.8367158176,40.6159971548,14.7496804646,62.6691745129,41.6757588107,32.7952222829,27.1410703793,56.3788148078,54.2255398338,81.4610174937,62.7926266344,25.6126911123,45.7941739859,48.0370027534,58.8613550231,24.271217813,49.1007458891,42.2432830406,21.1388958837,15.9828507268,31.355260203,19.5917900266
2013-06-28 00:00:00+00:00,25.2620560637,19.1531217802,27.5699220898,24.2197792493,21.0673074596,80.1510211541,32.3613740205,19.2493141145,21.555435921,32.3503237541,43.1879713454,15.1312418881,42.0181174672,37.1746036164,39.3012646812,313.0063213975,67.836156364,32.7073321528,55.6430414738,19.5144535458,207.0236839429,14.6806523865,19.9965623895,52.5231665563,61.4787008158,62.6124138194,27.5397378859,32.8794759023,16.5207175604,37.8740918981,15.2630459665,60.988493197,39.7150758666,32.1870909291,26.9822763798,57.4897946807,54.388018653,77.9007725431,59.8494138763,24.6927061312,47.1333336175,46.8393799533,57.7894430088,24.5297278252,48.6485951356,41.3271842799,21.4339564751,16.4517482067,30.9381170517,19.500166209
2013-07-31 00:00:00+00:00,28.0458516612,20.3635433757,29.0677618718,26.0482261641,25.2085426692,84.1168057685,35.2158131649,20.1686843409,20.8689936578,34.5272074736,45.3935180293,16.9072820687,46.3357143947,38.1882825694,44.2229302069,324.7359400514,68.9157248246,34.8157339222,58.4369536369,21.2857089084,215.2002082195,16.1818556844,21.2864169864,54.7024565377,66.9492024957,63.6823809487,27.5191397274,35.9822028216,16.5537684386,43.2277229333,16.1978309102,63.4963161029,44.4301702922,34.7578973607,28.1971986255,58.7198612009,57.1523323787,84.3353436924,65.5845909591,27.4280608567,50.7355035127,54.4742253038,63.2618715059,24.9849563855,50.3370956058,44.1782206099,22.8368082519,17.614877475,33.0687907684,20.4033152683
2013-08-30 00:00:00+00:00,26.2760276888,18.9876282827,26.4490445861,25.2788743467,20.7821911491,78.975072751,32.1114437394,19.0901923446,18.6971305294,32.1812454069,43.8012950819,15.5864151565,46.2180609689,36.2204434246,43.7896872627,322.4493295357,63.6683678219,32.33570904,54.8875448174,21.492939712,203.7821042338,15.8303254074,20.0877478924,54.2696358794,62.3344115551,60.2533296669,26.2145896904,36.9830536851,15.9966250628,39.3884839941,15.4740689771,58.799207797,44.7385703636,33.7994175061,26.3362091851,56.0418306625,55.4370506722,81.9724299657,64.0961494201,26.4473753663,47.971189288,51.6407847849,63.7403351996,23.1822168491,45.0094418812,44.1323829938,20.2266946094,17.2727806314,26.4442434497,19.220931379
